abstract,Repetition,ZH_EN,EN_ZH,model,BLEU,CHRF,TER,Semantic Similarity
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,1,"The field of chemical engineering is broad in scope, and the entire process is complex, involving many calculation stages. Calculations in chemical engineering are often related to solving problems such as curve fitting, nonlinear equations, partial differential equations, and linear or nonlinear programming. These calculations are extremely difficult, making accurate and efficient manual calculation challenging. However, with the aid of computer-assisted programming to perform quantitative calculations, the practical application of chemical calculation amounts can be achieved to improve quality and efficiency, which holds extremely high application value and real-world significance.",化学工程领域范围广泛，整个过程复杂，涉及许多计算环节。化学工程中的计算常常与解决诸如曲线拟合、非线性方程、偏微分方程以及线性或非线性规划等问题有关。这些计算极其困难，使得准确且高效的手动计算充满挑战。然而，借助计算机辅助编程进行定量计算，化学计算量的实际应用得以实现，从而提高质量和效率，这具有极高的应用价值和现实意义。,Gemini-2FTE,0.3423200516847171,0.7222222222222222,0.07692307692307696,0.0
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,2,"Main Text: Chemical engineering has a broad scope and complex processes, involving numerous calculation steps. Calculations in chemical engineering are often related to solving curve fitting nonlinear equations, partial differential equations, and linear or nonlinear programming. These calculations are extremely difficult and hard to perform accurately and quickly by hand alone. However, with computer-aided programming for quantitative calculations, the quality and efficiency of chemical dosage calculations can be practically improved, which has extremely high application value and practical significance.",化学工程涉及领域广泛，工艺流程复杂，包含大量的计算步骤。化学工程中的计算常常涉及求解曲线拟合非线性方程、偏微分方程以及线性或非线性规划。这些计算极其困难，单靠手工难以准确快速地完成。然而，借助计算机辅助编程进行定量计算，化学计量计算的质量和效率可以得到实际提高，这具有极高的应用价值和实践意义。,Gemini-2FTE,0.33202732406993046,0.7,0.08333333333333333,0.0
"<正>化学专业英语是英语与化学专业知识结合的一门科技英语,专门用来阐述化学领域相关的理论、技术、实验、过程及现象,是提升高校化学类相关专业学生从事化工领域岗位的基础性课程。化学化工行业使用的众多设备都是从国外引进的,设备使用说明书、结构参数等都是英文版的。这使得化学化工行业需要大量既懂专业知识又掌握专业英语技能的优秀人才。高职院校是培养生产一线高素质技术型人才的主阵地,项目化教学的优势符合高职院校化工技术类专业英语课程教学的需要,提高教学的针对性与实效性,提高学生化工专业英语的掌握程度,帮助他们顺利融入工作岗位。",1,"Chemical Professional English is a branch of technical English that integrates English with specialized chemical knowledge. It is specifically used to describe theories, technologies, experiments, processes, and phenomena related to the field of chemistry and serves as a foundational course for students in chemistry-related majors in higher education to prepare them for positions in the chemical industry.  Many pieces of equipment used in the chemical and chemical engineering industries are imported from overseas. Equipment manuals, structural parameters, and the like are all in English. This necessitates a large number of highly skilled personnel in the chemical and chemical engineering industry who possess both professional knowledge and proficient professional English skills. Vocational colleges are the primary institutions for cultivating high-quality, technically skilled personnel for front-line production. The advantages of project-based teaching align with the needs of professional English language courses for chemical technology-related majors in vocational colleges, enhancing the relevance and effectiveness of teaching. This approach aims to improve students' proficiency in chemical professional English and help them seamlessly integrate into their professional roles.",化学专业英语是科技英语的一个分支，它将英语与专门的化学知识相结合。它专门用于描述与化学领域相关的理论、技术、实验、过程和现象，是高等教育中化学相关专业学生的基础课程，为他们将来在化工行业任职做好准备。化工和化学工程行业中使用的许多设备都是从海外进口的。设备手册、结构参数等都是英文的。这就需要在化工和化学工程行业中拥有大量既具备专业知识又精通专业英语技能的高素质人才。职业院校是为一线生产培养高素质技术技能人才的主要机构。项目式教学的优势与职业院校化学技术相关专业专业英语课程的需求相契合，提升了教学的相关性和有效性。这种方法旨在提高学生的化学专业英语水平，帮助他们无缝衔接到职业角色中。,Gemini-2FTE,0.34345318267821595,0.7213114754098361,0.06216045522255425,0.06759317166168627
"<正>元素观：物质是由元素组成的；元素可以分为不同的类别，不同元素具有不同的性质，同类元素具有相似的性质；物质的性质与元素组成有关，可以按照元素组成来分类物质；化学反应前后元素的种类不变……分类观：选择分类的对象及分类的视角(特征),元素的分类，物质的分类，变化的分类，化学反应的分类，化学反应条件的分类，物质性质的分类，物质结构的分类，实验探究中影响变量的分类，实验原理、实验仪器、实验操作的分类……微粒观：物质是由微观粒子构成的；",2,"Element perspective: Matter is composed of elements; elements can be divided into different categories, different elements have different properties, elements of the same category have similar properties; the properties of matter are related to the elemental composition, matter can be classified according to elemental composition; the types of elements remain unchanged before and after chemical reactions... Classification perspective: Selecting the objects of classification and the perspective (characteristics) of classification, classification of elements, classification of matter, classification of changes, classification of chemical reactions, classification of conditions for chemical reactions, classification of properties of matter, classification of structures of matter, classification of influencing variables in experimental investigations, classification of experimental principles, experimental instruments, and experimental operations... Particulate perspective: Matter is composed of microscopic particles;",元素觀點：物質由元素組成；元素可以分成不同類別，不同元素具有不同的性質，同類別的元素具有相似的性質；物質的性質與元素組成有關，物質可以根據元素組成進行分類；元素種類在化學反應前後保持不變…… 分類觀點：選擇分類的對象和分類的視角（特徵），元素的分類，物質的分類，變化的分類，化學反應的分類，化學反應條件的分類，物質性質的分類，物質結構的分類，實驗探究中影響變量的分類，實驗原理的分類，實驗儀器，和實驗操作…… 微粒觀點：物質由微觀粒子構成；,Gemini-2FTE,0.2123292888921015,0.5194805194805194,0.041666666666666664,0.0
在传统的初中化学复习教学活动中，教师很难将碎片化的知识进行充分整理，学生学习能力和综合素质的提高均受到较大影响。然而，游戏式教学法能够以鲜明的教学主题为核心，有效整合初中化学知识，从而形成更具系统性与结构性的知识框架，避免教学内容始终停留在浅层阶段。本文简要阐述初中化学复习教学中存在的问题，提出以游戏教学法对化学符号的知识进行复习教学的策略。,2,"In traditional junior high school chemistry review teaching, teachers find it hard to thoroughly organize fragmented knowledge, and the improvement of students' learning abilities and overall quality are significantly impacted. However, game-based pedagogy, centered around a distinct teaching theme, can effectively integrate junior high chemistry knowledge, thereby creating a more systematic and structured knowledge framework, and preventing teaching content from remaining at a superficial level. This paper briefly outlines the issues in junior high chemistry review teaching and proposes strategies for using game-based pedagogy to review the knowledge of chemical symbols in teaching.",传统初中化学复习教学中，教师难以系统地整理零散的知识，学生的学习能力和综合素质的提升也因此受到显著影响。然而，围绕明确教学主题的、基于游戏的教学法能够有效地整合初中化学知识，从而构建更系统化、结构化的知识体系，并避免教学内容停留在浅层层面。本文简要概述了初中化学复习教学中存在的问题，并提出了在教学中运用游戏化教学法复习化学符号知识的策略。,Gemini-2FTE,0.5235762970740585,0.6831683168316832,0.09493439123549045,0.050656087645095244
探讨了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,1,The control effect of chitosan oligosaccharide combined with chemical fungicides on downy mildew of Chinese cabbage was investigated.,壳寡糖结合化学杀菌剂对大白菜霜霉病的控制效果进行了研究。,Gemini-2FTE,0.4140393356054125,0.6551724137931034,1.0,0.0
探讨了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,2,Investigated the efficacy of amino oligosaccharide combined with a chemical fungicide against downy mildew of Chinese cabbage.,研究氨基寡糖与化学杀菌剂结合对防治白菜霜霉病的有效性。,Gemini-2FTE,0.4140897895345154,0.7241379310344828,1.0,0.0
"<正>立足“新工科”专业教育场域,物理化学实验能力是化学、材料、生物、环保等专业人才的一项基本素养,在学科设置上,具备一定的前置条件,通常应在系统学习分析化学实验的基本原理与操作规范的基础上,以及熟悉常规实验工具、仪器、方法之后,再进入的物理化学实验领域。基于教学主体视角,物理化学实验的基本内涵是运用物理学知识、技术、经验及规律去解决化学问题,这意味着单个物理化学实验项目有着复合属性,所涉及的教学理论与实践过程也更为丰富、复杂。",1,"Grounded in the professional education field of ""New Engineering Disciplines,"" physical chemistry experimental skills are a fundamental competency for professionals in fields such as chemistry, materials, biology, and environmental protection. In curriculum setup, it requires certain prerequisites. Typically, one should enter the realm of physical chemistry experiments after systematically learning the fundamental principles and operational standards of analytical chemistry experiments, and after becoming familiar with conventional experimental tools, instruments, and methodologies. From a teaching perspective, the fundamental essence of physical chemistry experiments is to utilize physics knowledge, techniques, experience, and principles to solve chemical problems. This implies that individual physical chemistry experiment projects possess a composite nature, and the teaching theories and practical procedures involved are also more extensive and intricate.",立足于“新工科”的专业教育领域，物理化学实验技能是化学、材料、生物和环境保护等领域专业人员的一项基本能力。在课程设置上，这需要一定的先修知识。通常，应该在系统学习分析化学实验的基本原理和操作规范，并熟悉常规实验工具、仪器和方法后，再进入物理化学实验的领域。从教学的角度来看，物理化学实验的本质是利用物理学的知识、技术、经验和原理来解决化学问题。这意味着物理化学实验项目具有综合性，并且其教学理论和实践环节也更加广泛和深入。,Gemini-2FTE,0.44103185600039013,0.7142857142857143,0.04961457249049949,0.0821304089257596
<正>公共场所是人们经常集聚的、供大众使用的综合性社会场所。公共场所主要为公众提供包括住宿、休闲、娱乐、公共交通等生活需求，近年来，伴随着经济社会的快速发展，公共场所类型和数量显著增加。同时，伴随着人们环保意识的增强，人们对于室内空气质量关注度持续提高。旅游酒店作为重要的公共场所，一般人员流动性较高，室内空气质量也会对住客和从业人员健康产生重要的影响。旅游酒店通常空间较为封闭狭小，易受装修材料、装饰装潢中的化学物质的影响，甲醛、氨等污染物可能在空气中累积，进而会对人体健康造成危害。因此，开展旅游酒店公共场所室内空气化学污染物的健康风险评估与治理至关重要。,1,,无,Gemini-2FTE,0.0,0.0,0.04347826086956521,0.0
<正>化学作为一门自然科学，是人们认识世界和改造世界的重要途径。在历史长河中，化学是经由无数的实验探究逐渐总结发展起来的。从化学的发展历史来看，化学的主要研究形式是分析，在化学科学的发展过程中，无论是实践分析，还是理论分析，都对化学科学的形成和发展产生了重要作用。聚焦于化学历史的发展历程，把握化学事物的基本规律和本质特点，能够更好地拓展化学的发展进程，也能够拓宽化学研究的理论基础。尤其在近代，伴随着化学学科的深入发展，对于化学历史发展情况开展深入的哲学思考尤为必要。,1,"Chemistry, as a natural science, is an important way for people to understand and transform the world. Throughout history, chemistry has gradually developed and been summarized through numerous experimental studies. Historically, the main form of chemical research has been analysis. In the development of chemical science, both practical and theoretical analysis have been crucial for its formation and development. Focusing on the historical development of chemistry and understanding the basic laws and essential features of chemical phenomena can better promote the development of chemistry and broaden the theoretical foundation of chemical research. Especially in modern times, with the deepening development of chemistry as a discipline, it is particularly important to conduct in-depth philosophical reflection on the historical development of chemistry.",化学作为一门自然科学，是人们认识和改造世界的重要途径。纵观历史，化学通过大量的实验研究逐渐发展和总结起来。历史上，化学研究的主要形式一直是分析。在化学科学的发展过程中，实践分析和理论分析对于化学的形成和发展都至关重要。关注化学的历史发展，认识化学现象的基本规律和本质特征，能够更好地促进化学的发展，拓宽化学研究的理论基础。尤其在现代，随着化学作为一门学科的不断深入发展，对化学的历史发展进行深入的哲学反思就显得尤为重要。,Gemini-2FTE,0.5055140150306473,0.7142857142857143,0.06216045522255425,0.06759317166168625
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,1,"The field of chemical engineering encompasses a wide range of areas, with complex processes and numerous calculation steps involved. Calculations in chemical engineering often relate to curve fitting of nonlinear equations, partial differentials, and solving linear or nonlinear programming problems, which are extremely challenging. Achieving precise and efficient calculations manually is difficult; however, by utilizing computer-aided programming for computational tasks, the quality and efficiency of chemical dosage calculations can be significantly improved, offering high application value and practical significance.",化学工程领域涵盖广泛，涉及复杂工艺与众多计算步骤。其计算常关联非线性方程的曲线拟合、偏微分以及线性或非线性规划问题的求解，极具挑战性。人工实现精确高效计算颇为困难；然而，借助计算机辅助编程进行运算，可大幅提升化工计算的质量与效率，具有较高的应用价值和现实意义。,DeepSeek-V3,0.27698248493773725,0.7,0.08695652173913046,0.0
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,2,"The field of chemical engineering encompasses a wide range of areas, with complex processes and numerous calculation steps involved. Calculations in chemical engineering often relate to curve fitting of nonlinear equations, partial differentials, and solving linear or nonlinear programming problems. These calculations are extremely challenging and difficult to achieve accurately and quickly by manual methods alone. However, by utilizing computer-assisted programming for computational calculations, it is possible to enhance the quality and efficiency of chemical dosage calculations, offering significant practical value and real-world significance.",化学工程领域涵盖广泛，涉及复杂过程与众多计算步骤。化工计算常关联非线性方程的曲线拟合、偏微分以及线性或非线性规划问题的求解，这些计算极为复杂，仅凭手工方法难以准确且迅速地完成。然而，借助计算机辅助编程进行计算，可提升化工配比计算的质效，具有重要的实用价值与现实意义。,DeepSeek-V3,0.27698248493773725,0.6888888888888889,0.08695652173913046,0.0
<正>1前言2024年，对于中国科学技术大学（以下简称中国科大）辐射化学学科是一个极其特殊的年份。这一年安全运行了四十年的钴源辐照装置到达退役年限，即将完成它的历史使命。在四十年的岁月中，钴源辐照装置对中国科大辐射化学学科乃至中国辐射技术产业化的发展起到了至关重要的作用，也为中国科大辐射化学学科开启下一个新时代打下了良好的坚实基础，未来可期。为此，特撰写此文，以示纪念。,2,"1 Introduction

The year 2024 is an exceptionally significant one for the discipline of radiation chemistry at the University of Science and Technology of China (USTC). This year marks the retirement of the cobalt-60 irradiation facility after 40 years of safe operation, as it completes its historical mission. Over these four decades, the cobalt-60 irradiation facility has played an essential role in advancing radiation chemistry at USTC, as well as promoting the industrialization of radiation technology in China. It has also provided a solid foundation, paving the way for a promising new era in radiation chemistry at USTC. This article has been specially prepared to commemorate this milestone.","1 引言

对于中国科学技术大学辐射化学学科而言，2024年具有非凡的意义。今年，服役40年并安全运行的钴-60辐照装置完成其历史使命，正式退役。在过去的四十年中，该钴-60辐照装置在推动中国科学技术大学辐射化学学科的发展、促进我国辐射技术产业化方面发挥了重要作用，并为该校辐射化学的崭新时代奠定了坚实的基础。特撰此文，以纪念这一里程碑时刻。",OpenAI-GPT-4.5,0.31938469433093464,0.6415094339622641,0.07407407407407411,0.0
<正>1前言2024年，对于中国科学技术大学（以下简称中国科大）辐射化学学科是一个极其特殊的年份。这一年安全运行了四十年的钴源辐照装置到达退役年限，即将完成它的历史使命。在四十年的岁月中，钴源辐照装置对中国科大辐射化学学科乃至中国辐射技术产业化的发展起到了至关重要的作用，也为中国科大辐射化学学科开启下一个新时代打下了良好的坚实基础，未来可期。为此，特撰写此文，以示纪念。,3,"1 Foreword

The year 2024 marks an exceptionally significant milestone for the discipline of radiation chemistry at the University of Science and Technology of China (USTC). This year, the cobalt-source irradiation facility, which has operated safely for forty years, will reach its retirement, completing its historical mission. Over the past forty years, this cobalt-source irradiation device has played a crucial role in the development of radiation chemistry at USTC and in promoting industrialization of radiation technology in China. Furthermore, it has laid a strong foundation for opening a new era in radiation chemistry at USTC, ensuring a bright future ahead. In commemoration, this article has been specially written.","1 前言

2024年对中国科学技术大学辐射化学学科来说意义非凡。今年是已安全运行四十年的钴源辐照装置光荣退役之年，它即将完成其历史使命。在过去的四十年中，该钴源辐照装置为中科大辐射化学学科的发展和我国辐射技术的产业化进程发挥了重要作用，也为开创中科大辐射化学学科的新纪元奠定了坚实基础，前景非常广阔。值此纪念之际，特撰此文。",OpenAI-GPT-4.5,0.4018149164801282,0.660377358490566,0.08695652173913046,0.0
<正>化学作为一门自然科学，是人们认识世界和改造世界的重要途径。在历史长河中，化学是经由无数的实验探究逐渐总结发展起来的。从化学的发展历史来看，化学的主要研究形式是分析，在化学科学的发展过程中，无论是实践分析，还是理论分析，都对化学科学的形成和发展产生了重要作用。聚焦于化学历史的发展历程，把握化学事物的基本规律和本质特点，能够更好地拓展化学的发展进程，也能够拓宽化学研究的理论基础。尤其在近代，伴随着化学学科的深入发展，对于化学历史发展情况开展深入的哲学思考尤为必要。,1,"Chemistry, as a natural science, is an important avenue for people to understand and transform the world. Throughout history, chemistry has gradually evolved and been summarized through countless experiments and explorations. From the historical perspective, chemistry primarily involves analysis, and both empirical and theoretical analyses have significantly contributed to the formation and development of chemical science. By focusing on the historical progression of chemistry and grasping the fundamental laws and intrinsic characteristics of chemical phenomena, we can further accelerate the development of chemistry and expand its theoretical foundation. Particularly in modern times, with the deepening development of chemical disciplines, it is especially important to engage in philosophical reflection upon chemistry's historical evolution.",化学作为一门自然科学，是人类认识世界和改造世界的重要途径。纵观历史，化学通过无数次实验与探索逐渐形成并不断总结。从历史的角度看，化学主要涉及分析，无论是经验分析还是理论分析，都极大地推动了化学科学的形成与发展。通过关注化学的历史进程，掌握化学现象的基本规律与内在特征，我们可以进一步促进化学学科的发展并扩展其理论基础。尤其在现代，随着化学学科发展的不断深入，对化学历史演进进行哲学反思显得尤为重要。,OpenAI-GPT-4.5,0.351353716994112,0.6607142857142857,0.06440630892622776,0.03390536610658386
<正>化学工程领域的涉及面较广，全过程复杂，涉及到的计算环节众多。化学工程领域的计算多与曲线拟合非线性方程，偏微分，线性或非线性规划的求解等有关，这些计算难度极大，仅靠手工，难以实现精准快捷的计算；而配合计算机辅助编程，开展计量计算，能够实践应用化学计算剂量的提质增效，具有极高的应用价值和现实意义。,1,"The field of chemical engineering is broad and complex, involving numerous calculation steps. Calculations in this field often relate to curve fitting of nonlinear equations, partial differential equations, solving linear or nonlinear programming problems, which are extremely challenging. Manual computation alone struggles to achieve precise and quick results. However, with the aid of computer programming, quantitative calculations can be conducted, enhancing the efficiency and effectiveness of chemical dosage calculations, thereby offering significant practical value and real-world significance.",化工领域宽广而复杂，涉及众多计算步骤。这类计算常常涉及非线性方程的曲线拟合、偏微分方程、解决线性或非线性的规划问题，这些都极具挑战性。单靠手工计算难以实现精确且快速的结果。然而，借助计算机编程，可以进行定量计算，提高化工配方计算的效率和效果，从而提供显著的实际价值和现实意义。,Grok-Beta,0.22273070010231505,0.6333333333333333,0.08000000000000002,0.0
在传统的初中化学复习教学活动中，教师很难将碎片化的知识进行充分整理，学生学习能力和综合素质的提高均受到较大影响。然而，游戏式教学法能够以鲜明的教学主题为核心，有效整合初中化学知识，从而形成更具系统性与结构性的知识框架，避免教学内容始终停留在浅层阶段。本文简要阐述初中化学复习教学中存在的问题，提出以游戏教学法对化学符号的知识进行复习教学的策略。,2,"In traditional junior high school chemistry review classes, teachers find it challenging to thoroughly organize fragmented knowledge, which significantly affects students' learning abilities and overall quality. However, game-based teaching methods can focus on a clear teaching theme, effectively integrating junior high school chemistry knowledge to form a more systematic and structured knowledge framework, preventing the teaching content from remaining superficial. This article briefly discusses the issues in junior high school chemistry review teaching and proposes strategies for reviewing chemical symbols using game-based teaching methods.",在传统的初中化学复习课中，教师发现很难全面整理零散的知识，这显著影响了学生的学习能力和整体素质。然而，基于游戏的教学方法可以集中在一个明确的教学主题上，有效地整合初中化学的知识，形成更系统、结构化的知识框架，避免教学内容流于表面。本文简要讨论了初中化学复习教学中的问题，并提出利用游戏化教学方法复习化学符号的策略。,Grok-Beta,0.45862094052059277,0.6237623762376238,0.09493439123549045,0.050656087645095244
探讨了氨基寡糖素与化学杀菌剂复配对大白菜霜霉病的防治效果。,1,Explored the control effect of chitosan oligosaccharide combined with chemical fungicides against downy mildew of Chinese cabbage.,探究了壳聚糖寡糖结合化学杀菌剂对白菜霜霉病的防控效果。,Claude-Sonnet-3.7,0.27605985968967695,0.6896551724137931,1.0,0.0
